chr1	1232087	1235191
chr1	1335126	1349568
chr1	1512012	1534835
chr1	1534628	1540774
chr1	1785135	1891267
chr1	2228169	2310363
chr1	2403814	2413947
chr1	2528595	2530413
chr1	3652366	3736351
chr1	3811936	3857546
chr1	5862661	5992623
chr1	6101637	6180471
chr1	6424626	6461517
chr1	6590574	6614757
chr1	6785304	7769856
chr1	7954141	7985655
chr1	8317964	8344317
chr1	8352247	8849071
chr1	9943278	9985651
chr1	10210420	10381753
chr1	10472138	10630908
chr1	11012194	11030678
chr1	11106385	11262701
chr1	11636868	11655935
chr1	11785573	11806605
chr1	11934055	11975688
chr1	12229880	12512197
chr1	15835945	15940606
chr1	16018725	16034200
chr1	16040102	16057461
chr1	16985808	17012078
chr1	18630696	18749016
chr1	18871280	18902874
chr1	19074360	19210416
chr1	19215510	19251677
chr1	20633308	20651661
chr1	20651617	20661694
chr1	21509247	21578560
chr1	21678148	21783756
chr1	21822094	21937460
chr1	22025361	22101510
chr1	22117163	22144119
chr1	22428688	22531307
chr1	22710689	22921650
chr1	23019293	23083839
chr1	23303621	23344486
chr1	23795449	23800931
chr1	23801735	23838770
chr1	23844927	23868440
chr1	24319207	24364632
chr1	26177334	26190034
chr1	26432132	26471456
chr1	26693086	26782254
chr1	26786904	26800809
chr1	27098659	27167131
chr1	27321995	27336550
chr1	27533885	27604581
chr1	29192507	29231092
chr1	30931356	31066141
chr1	32775087	32817530
chr1	33007790	33081146
chr1	34754897	34758662
chr1	34759590	34762477
chr1	34781064	34786519
chr1	34986015	35032095
chr1	35557323	35567424
chr1	35869658	35930682
chr1	36088742	36094082
chr1	37534299	37554443
chr1	37809424	37859742
chr1	39081166	39487327
chr1	39837960	39883661
chr1	39954962	39970118
chr1	40040083	40072799
chr1	40072560	40097410
chr1	40257891	40294330
chr1	40300339	40317963
chr1	40783637	40840602
chr1	42430179	42456403
chr1	42732943	42740404
chr1	42746185	42767234
chr1	42806902	42817547
chr1	42925203	42959043
chr1	43389732	43454397
chr1	43705674	43931315
chr1	43969850	43973519
chr1	43991350	44031617
chr1	44850372	44986872
chr1	45326745	45328860
chr1	45339902	45344123
chr1	45500150	45513532
chr1	46188532	46220455
chr1	47249989	47315042
